TIPO_INSTRUMENTO;ESFERA;IBGE;UF;REGIAO;MACRORREGIAO;MUNICIPIO;EXERCICIO;FASE;SITUACAO;DATA
"Pactuação";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2018";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210005";"MA";"Açailândia";"MACRORREGIAO SUL";"ACAILANDIA";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
