ESTADO;INSTRUMENTO;NO_MACROREGIONAL;REGIAO;MUNICIPIO;STATUS;FASE;ANO;DATA_PROCESSAMENTO
MA;Plano de Saúde;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Aprovado;2022-2025;;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Aprovado;2022-2025;2022;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Avaliado;2022-2025;2022;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Avaliado;2022-2025;2022;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Avaliado;2022-2025;2022;2025-10-20
MA;RAG;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Aprovado;2022-2025;2022;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Aprovado;2022-2025;2023;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Avaliado;2022-2025;2023;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Avaliado;2022-2025;2023;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2023;2025-10-20
MA;RAG;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2023;2025-10-20
MA;Programação Anual de Saúde;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
MA;1º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
MA;2º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
MA;3º RDQA;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
MA;RAG;MACRORREGIAO SUL;Açailândia;ACAILANDIA;Em Análise no Conselho de Saúde;2022-2025;2024;2025-10-20
